Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
24,43,25,27,21,7,1,11,562,Good
31,73,23,32,32,13,2,6,464,Moderate
24,61,10,16,20,4,1,14,203,Good
32,75,56,61,30,10,2,6,455,Poor
36,72,65,79,17,26,3,5,493,Hazardous
28,65,89,96,36,11,2,8,718,Poor
22,70,7,10,25,3,1,13,423,Good
29,80,4,14,22,6,2,7,337,Moderate
28,64,6,12,20,4,1,12,485,Good
23,68,56,58,21,7,1,11,364,Good
26,73,66,69,30,11,2,6,529,Moderate
39,85,7,28,36,9,2,4,622,Poor
37,106,23,35,37,24,2,3,726,Hazardous
33,70,6,14,38,8,2,12,444,Poor
24,74,2,8,26,8,1,13,329,Good
31,80,20,34,20,8,1,7,527,Moderate
24,56,90,98,25,11,1,5,538,Moderate
27,50,4,7,12,5,1,12,262,Good
31,78,10,24,35,15,1,12,326,Moderate
26,70,7,11,26,4,1,11,344,Good
29,68,11,17,27,9,1,11,488,Good
33,68,28,36,30,19,2,4,571,Poor
38,78,22,26,18,9,2,6,697,Moderate
27,75,3,15,24,11,1,6,500,Moderate
33,88,74,92,40,15,2,6,656,Poor
23,80,0,10,23,10,2,9,264,Moderate
24,50,10,14,18,6,1,11,595,Good
43,102,2,12,32,19,2,4,492,Poor
30,75,15,28,20,10,1,6,373,Moderate
23,86,6,21,21,21,2,6,505,Poor
31,76,5,21,26,11,1,7,296,Moderate
32,79,18,33,37,12,1,6,500,Moderate
44,88,3,13,35,16,2,5,757,Poor
24,76,27,34,23,3,1,11,387,Good
22,71,15,19,18,2,1,19,505,Good
36,55,66,76,25,13,1,6,413,Moderate
37,87,42,63,33,20,2,5,734,Hazardous
21,56,8,11,20,8,1,12,436,Good
24,68,0,4,17,7,1,13,370,Good
27,88,21,25,35,4,2,6,506,Moderate
35,101,109,124,38,12,2,4,511,Poor
23,52,49,57,18,21,2,7,621,Moderate
40,72,18,29,38,22,2,3,790,Hazardous
26,37,4,11,26,3,1,22,221,Good
27,73,4,9,18,3,1,12,337,Good
26,53,23,34,17,10,1,8,392,Moderate
29,52,15,32,25,9,1,6,663,Moderate
32,48,7,12,16,4,1,12,269,Good
31,71,12,16,15,6,1,11,500,Good
29,70,29,40,23,1,2,7,531,Moderate
39,47,8,13,32,12,2,9,371,Moderate
32,81,28,41,42,13,2,4,623,Poor
36,62,35,53,23,8,1,7,407,Moderate
24,47,7,11,26,8,1,11,458,Good
48,89,15,33,52,0,3,3,664,Hazardous
31,51,73,85,29,7,1,6,578,Moderate
29,69,10,20,29,6,1,5,552,Moderate
27,87,5,20,29,9,2,10,653,Moderate
23,72,0,8,14,8,1,10,310,Good
39,79,3,21,43,16,2,4,772,Hazardous
25,64,31,48,28,11,2,5,389,Moderate
41,80,11,34,26,11,2,4,714,Poor
27,68,11,12,28,4,1,12,551,Good
34,67,26,34,29,16,2,4,425,Poor
44,90,5,19,36,8,2,4,656,Poor
29,74,14,20,17,11,2,10,499,Moderate
30,75,5,10,18,3,1,13,263,Good
42,91,45,64,34,27,3,3,887,Hazardous
24,52,14,21,13,4,1,11,379,Good
28,90,12,9,22,16,1,5,618,Moderate
18,52,4,6,26,8,1,11,215,Good
26,60,10,17,25,5,2,7,432,Moderate
29,63,13,26,23,17,2,4,839,Poor
25,44,6,12,22,3,1,10,470,Good
38,48,78,87,38,16,2,5,438,Poor
25,87,4,6,33,9,2,6,662,Moderate
31,75,9,17,30,5,2,4,531,Poor
26,66,12,17,15,4,1,12,432,Good
26,54,12,15,20,5,1,13,374,Good
28,52,16,20,21,5,1,19,496,Good
31,65,4,11,21,8,1,12,233,Good
30,61,88,94,16,5,2,7,454,Moderate
22,52,12,19,27,5,1,12,316,Good
20,56,22,29,19,3,1,10,335,Good
28,70,23,31,38,9,2,8,505,Moderate
26,60,41,58,26,22,2,11,609,Moderate
32,89,1,18,32,10,2,7,545,Poor
29,72,12,15,27,10,1,8,487,Moderate
32,86,12,14,21,16,1,5,372,Moderate
24,60,2,10,23,5,1,11,488,Good
34,83,18,43,36,25,2,4,749,Poor
25,69,10,13,23,4,1,11,578,Good
26,55,1,4,13,6,1,14,368,Good
29,75,15,27,28,12,2,5,428,Moderate
19,57,6,10,19,1,1,12,409,Good
32,62,40,53,29,16,1,6,463,Moderate
35,69,49,63,27,12,2,6,721,Poor
32,80,1,13,26,20,2,9,403,Moderate
23,74,2,6,14,4,1,14,494,Good
32,94,32,46,33,14,2,7,482,Poor
27,70,38,42,19,14,2,8,579,Moderate
33,51,8,13,13,5,1,12,410,Good
26,76,9,13,19,4,1,13,321,Good
38,78,9,19,35,10,1,5,318,Moderate
26,78,1,8,18,5,1,16,526,Good
30,65,13,20,16,5,1,16,198,Good
32,79,4,11,33,11,1,10,651,Moderate
22,46,7,13,28,3,1,11,473,Good
24,70,29,39,19,6,1,13,342,Good
33,94,37,41,35,12,2,8,770,Poor
28,71,16,21,21,9,1,10,377,Moderate
36,73,46,49,32,12,1,6,444,Moderate
32,68,7,11,27,7,1,10,530,Good
32,61,8,21,28,13,2,8,574,Moderate
27,39,10,12,21,6,1,11,494,Good
31,68,2,6,11,1,1,11,344,Good
28,59,46,56,27,7,1,7,633,Moderate
33,77,13,33,39,8,2,4,529,Poor
28,75,2,10,26,8,2,5,342,Moderate
28,57,18,35,33,14,3,5,486,Poor
27,80,17,27,27,0,1,8,575,Moderate
32,59,5,9,19,3,1,11,437,Good
27,44,4,7,24,7,1,11,417,Good
23,55,2,12,19,6,1,11,339,Good
24,92,26,32,31,14,2,6,268,Moderate
24,47,3,8,12,3,1,10,543,Good
26,74,0,11,33,10,1,8,511,Moderate
21,42,4,7,20,1,1,20,473,Good
30,86,7,30,36,26,2,4,632,Poor
32,66,1,21,46,21,2,5,634,Poor
45,100,80,104,51,18,3,5,574,Hazardous
26,88,7,20,30,17,1,6,326,Moderate
43,111,36,55,42,17,2,5,531,Hazardous
27,68,10,16,26,2,1,11,231,Good
19,54,16,34,20,12,2,5,362,Moderate
32,68,7,19,21,2,1,12,537,Moderate
42,70,22,34,32,22,3,10,672,Hazardous
22,72,7,10,25,7,1,10,542,Good
26,57,16,21,19,0,1,11,323,Good
36,69,25,38,26,12,2,6,549,Poor
30,91,6,14,26,11,2,7,685,Moderate
37,92,111,117,29,7,1,10,645,Moderate
32,70,0,11,33,8,1,6,643,Moderate
42,60,6,23,25,9,2,6,383,Moderate
27,58,5,11,18,1,1,13,397,Good
25,45,2,10,26,7,1,14,558,Good
28,90,32,40,21,16,2,6,697,Moderate
36,82,7,16,32,13,2,4,767,Poor
29,69,23,25,14,6,1,12,358,Good
46,62,36,54,32,19,3,4,616,Poor
28,64,1,13,27,9,2,8,531,Moderate
27,68,4,8,24,6,1,10,366,Good
24,79,8,10,28,5,1,6,473,Moderate
31,97,70,97,39,21,2,5,480,Poor
34,49,28,37,41,16,2,4,568,Poor
30,61,18,31,31,17,1,5,396,Moderate
29,81,17,27,35,15,2,5,446,Moderate
26,58,10,16,26,7,1,15,458,Good
40,96,71,75,31,18,2,4,422,Poor
28,89,14,26,24,18,1,9,546,Moderate
32,63,116,128,30,10,2,4,790,Poor
28,40,52,57,29,1,1,15,384,Good
28,88,23,38,27,5,1,6,443,Moderate
38,65,0,24,18,7,2,5,643,Poor
32,83,41,55,19,3,2,4,669,Poor
22,78,6,8,20,5,1,13,514,Good
32,85,25,46,29,13,2,6,599,Hazardous
20,54,17,20,16,7,1,11,564,Good
28,48,0,5,26,3,1,12,474,Good
33,56,58,69,23,16,1,7,542,Moderate
28,60,8,16,26,21,1,5,423,Moderate
34,52,4,12,14,5,1,10,421,Good
33,81,18,32,23,21,2,5,793,Poor
37,111,0,9,32,18,2,8,753,Poor
28,81,36,46,21,13,2,8,395,Moderate
30,47,0,13,33,4,2,5,541,Moderate
27,72,30,32,22,4,1,12,320,Good
32,91,2,16,34,7,2,7,535,Poor
27,66,0,5,21,-1,1,10,422,Good
45,105,134,155,46,23,3,8,736,Hazardous
32,70,6,18,44,17,2,4,506,Poor
27,63,25,35,31,9,2,6,631,Moderate
34,72,6,16,26,16,3,5,560,Poor
30,49,0,7,24,9,2,6,536,Moderate
29,63,11,17,22,6,1,15,319,Good
25,60,0,2,18,6,1,13,457,Good
31,86,27,29,18,11,2,9,466,Moderate
28,48,14,16,18,4,1,10,503,Good
28,55,3,13,18,4,1,7,296,Moderate
24,56,1,2,24,10,1,10,349,Good
28,76,17,24,32,18,2,5,577,Poor
25,46,23,25,14,5,1,10,356,Good
22,65,13,18,16,5,1,10,468,Good
33,97,10,33,40,12,2,4,640,Hazardous
38,81,44,52,40,9,2,4,670,Poor
46,64,17,28,46,15,2,4,658,Poor
30,62,40,48,20,15,2,5,574,Moderate
42,65,2,11,22,8,1,7,452,Moderate
41,81,14,27,38,16,2,4,630,Poor
50,85,9,34,36,19,2,4,778,Hazardous
24,54,3,5,19,7,1,12,351,Good
27,90,14,23,27,13,1,8,616,Moderate
50,108,43,63,54,15,2,8,722,Hazardous
23,60,5,7,26,8,1,12,535,Good
20,61,21,26,14,7,1,10,577,Good
22,51,24,29,19,5,1,10,303,Good
29,53,14,19,18,8,1,10,456,Good
42,76,13,26,41,34,3,7,543,Hazardous
22,50,22,25,12,7,1,11,311,Good
41,86,66,93,40,16,1,4,424,Poor
28,40,3,8,18,5,1,11,470,Good
26,44,5,10,24,9,1,11,284,Good
25,50,1,5,18,5,1,10,447,Good
37,83,7,18,33,17,2,4,678,Poor
29,75,44,49,23,8,2,12,370,Moderate
25,56,2,7,19,6,1,14,333,Good
38,99,82,94,38,13,2,6,791,Poor
26,78,28,34,26,4,1,11,360,Good
20,76,9,15,15,5,1,16,297,Good
26,78,22,30,14,6,1,12,549,Good
26,88,29,47,23,6,1,6,490,Moderate
26,46,5,11,19,3,1,18,471,Good
25,81,23,37,38,10,2,8,543,Moderate
36,78,5,11,30,14,1,6,412,Moderate
29,43,5,13,18,2,1,10,561,Good
28,76,14,25,28,4,2,5,740,Poor
39,99,9,31,40,21,2,3,827,Hazardous
27,59,21,33,22,9,1,6,398,Moderate
25,51,4,9,15,4,1,12,215,Good
31,81,8,18,24,27,2,4,677,Poor
23,64,7,11,12,6,1,14,295,Good
31,52,6,15,22,11,1,7,370,Moderate
26,81,16,18,15,8,1,12,341,Good
34,103,29,42,54,24,3,4,614,Hazardous
36,69,7,16,23,2,1,6,542,Moderate
30,56,17,35,21,4,2,6,649,Moderate
32,78,66,83,34,18,2,6,641,Poor
29,56,0,2,25,3,1,11,407,Good
31,117,16,36,32,21,3,4,544,Hazardous
34,101,5,14,48,21,2,6,771,Hazardous
30,54,12,22,27,10,1,8,438,Moderate
29,66,1,4,19,7,1,13,490,Good
42,95,96,116,46,10,2,5,570,Poor
37,85,58,76,39,13,2,5,609,Poor
27,84,11,18,18,8,2,7,425,Moderate
36,91,50,50,19,15,2,4,539,Poor
29,72,8,8,24,7,1,15,532,Good
23,71,7,12,12,4,1,14,485,Good
24,56,25,30,17,5,1,15,540,Good
31,77,12,16,14,7,1,11,579,Good
25,84,64,84,47,12,2,4,630,Poor
37,82,11,32,37,17,2,4,831,Poor
38,86,12,33,34,15,2,8,535,Poor
31,65,53,66,35,20,2,4,391,Poor
30,47,5,16,27,7,2,8,364,Moderate
42,88,96,116,43,19,3,7,707,Hazardous
34,63,58,78,43,5,1,5,505,Poor
31,86,13,20,28,13,2,16,300,Moderate
20,51,6,13,21,2,1,10,359,Good
34,89,22,35,20,10,2,6,333,Moderate
19,54,9,14,20,6,1,10,494,Good
27,65,15,24,29,13,2,7,485,Moderate
36,96,14,30,38,12,2,12,552,Poor
34,60,14,22,20,2,1,12,511,Good
24,52,7,12,19,6,1,13,581,Good
38,65,14,27,38,10,2,4,641,Poor
32,69,4,6,28,9,2,5,438,Moderate
30,76,5,13,22,10,1,6,351,Moderate
20,51,4,9,10,6,1,17,383,Good
26,77,27,33,22,5,1,12,336,Good
32,101,51,69,48,18,2,3,796,Hazardous
37,71,5,46,42,6,2,3,846,Hazardous
27,49,27,30,13,6,1,12,337,Good
30,54,4,11,15,7,1,10,365,Good
34,72,1,14,32,18,2,14,646,Moderate
25,55,1,7,28,5,1,12,279,Good
17,57,22,26,13,6,1,10,231,Good
34,90,34,41,36,6,1,9,510,Moderate
25,78,40,54,38,20,2,3,463,Poor
30,92,8,19,36,19,2,3,417,Poor
26,88,34,42,37,14,1,8,542,Moderate
34,79,18,32,32,15,2,6,691,Poor
30,89,6,9,24,14,2,8,365,Moderate
32,89,12,34,39,14,2,5,688,Poor
28,68,0,6,27,9,1,12,465,Good
24,45,1,5,26,4,1,11,262,Good
25,57,16,22,24,4,1,10,261,Good
33,83,71,88,30,16,2,6,712,Poor
37,76,22,35,38,27,2,4,774,Poor
28,76,70,89,42,23,2,4,678,Poor
32,56,0,14,27,5,1,5,412,Moderate
41,70,45,60,28,16,2,6,759,Hazardous
30,66,1,8,25,11,1,8,670,Moderate
24,43,14,20,16,8,1,11,365,Good
38,97,43,51,32,11,1,7,293,Moderate
44,93,76,90,34,18,2,10,425,Poor
34,66,67,77,33,6,1,14,461,Moderate
35,86,15,26,22,11,2,6,643,Moderate
27,82,28,40,24,9,1,6,379,Moderate
18,65,9,12,14,5,1,10,428,Good
28,74,8,16,33,9,1,5,638,Moderate
21,78,17,23,13,7,1,10,450,Good
32,82,17,30,19,14,2,4,588,Poor
29,84,9,15,32,12,2,10,475,Moderate
21,72,13,17,19,1,1,11,280,Good
26,48,41,58,32,7,2,6,562,Moderate
23,56,31,34,15,6,1,10,300,Good
27,84,17,22,13,6,1,13,539,Good
23,54,3,9,24,1,1,12,372,Good
38,50,10,15,22,7,2,5,654,Moderate
21,78,6,15,20,6,1,10,446,Good
25,52,2,5,21,5,1,12,230,Good
29,54,6,15,28,9,1,11,421,Moderate
27,81,1,6,20,7,1,11,409,Good
27,51,21,26,16,4,1,10,432,Good
38,79,1,9,24,1,3,5,755,Poor
30,89,19,31,35,25,2,15,748,Poor
48,92,24,42,38,29,2,3,924,Hazardous
31,64,16,25,28,13,2,8,485,Moderate
23,52,2,11,17,3,1,8,396,Moderate
26,50,0,4,23,5,1,14,575,Good
24,45,4,9,24,4,1,11,527,Good
23,76,16,19,24,5,1,13,430,Good
23,41,22,25,22,3,1,15,215,Good
25,72,27,34,25,3,1,11,596,Good
24,43,12,17,14,7,1,10,333,Good
22,56,7,14,21,5,1,12,348,Good
28,76,0,9,10,4,1,12,518,Good
20,44,12,16,26,9,1,14,480,Good
24,52,50,61,32,6,2,6,336,Moderate
26,65,10,14,23,7,1,12,379,Good
42,81,11,23,31,12,2,6,459,Poor
35,65,47,60,24,16,2,7,771,Poor
45,115,19,45,45,18,3,3,615,Hazardous
34,68,5,14,31,12,2,7,575,Moderate
26,57,2,6,12,5,1,19,392,Good
41,62,18,42,33,11,3,5,593,Poor
35,76,7,17,24,3,2,10,660,Moderate
20,63,22,28,19,3,1,11,396,Good
23,44,2,11,14,6,1,12,537,Good
30,76,27,46,40,9,2,10,624,Poor
39,107,11,29,45,19,4,3,713,Hazardous
23,76,12,22,27,12,2,12,577,Moderate
28,57,2,10,12,7,1,12,258,Good
29,81,60,76,24,6,1,6,511,Moderate
42,75,24,35,38,7,1,6,527,Poor
27,91,17,21,26,6,2,8,571,Moderate
31,82,0,11,26,20,2,5,650,Moderate
30,91,92,99,22,10,2,5,598,Moderate
28,94,35,51,46,19,2,4,487,Poor
25,87,50,70,35,15,3,5,680,Hazardous
41,82,30,53,36,15,2,4,654,Poor
28,73,57,70,34,10,2,5,486,Poor
38,80,28,37,33,14,2,5,608,Poor
42,108,109,117,44,21,2,5,741,Hazardous
30,86,8,20,21,8,1,9,487,Moderate
32,101,60,78,45,25,3,4,698,Hazardous
34,54,11,30,26,11,1,5,640,Moderate
22,56,6,12,17,6,1,12,230,Good
21,42,7,11,21,4,1,13,298,Good
27,76,4,10,25,5,1,10,394,Good
23,71,1,7,26,2,1,11,481,Good
32,76,16,21,19,12,1,9,405,Moderate
35,86,47,61,22,14,2,4,514,Poor
46,80,42,58,32,28,2,3,705,Hazardous
29,54,2,9,28,10,1,6,327,Moderate
26,72,31,35,21,4,1,13,463,Good
45,93,51,79,35,23,2,4,565,Hazardous
23,41,5,11,21,6,1,13,315,Good
24,51,14,16,26,7,1,10,264,Good
27,77,13,21,16,16,2,8,406,Moderate
33,80,43,51,14,13,2,8,633,Moderate
22,58,4,6,17,8,1,12,460,Good
31,63,4,16,22,16,1,6,625,Moderate
26,84,33,37,24,3,1,19,310,Good
25,64,5,9,17,6,1,11,367,Good
41,92,36,50,42,17,2,3,815,Hazardous
37,48,18,27,20,15,2,10,467,Moderate
26,53,15,20,13,6,1,11,259,Good
30,44,8,11,22,6,1,11,446,Good
36,82,2,12,21,15,2,10,672,Moderate
28,75,1,13,36,3,1,6,539,Moderate
23,69,1,8,12,6,1,12,481,Good
17,73,1,0,28,6,1,14,339,Good
15,48,17,21,26,4,1,12,263,Good
38,85,34,62,44,18,3,7,598,Hazardous
29,68,0,5,19,4,1,11,444,Good
38,100,142,157,36,21,2,3,528,Hazardous
17,46,8,10,26,4,1,12,249,Good
25,40,5,13,20,6,1,10,418,Good
27,76,8,13,22,3,1,10,407,Good
30,78,10,14,16,7,1,12,554,Good
28,66,19,32,25,7,2,5,609,Moderate
35,81,21,33,51,17,2,4,797,Hazardous
28,54,6,18,29,12,2,7,663,Moderate
23,80,1,8,12,6,1,12,439,Good
20,52,2,6,25,5,1,13,277,Good
35,71,13,39,35,14,2,6,401,Poor
22,72,4,8,19,0,1,12,490,Good
33,51,24,29,36,7,1,9,586,Moderate
39,72,3,24,25,23,2,4,765,Poor
38,48,46,50,28,14,1,10,511,Moderate
29,73,12,28,24,13,2,8,459,Moderate
39,65,22,32,21,9,1,6,545,Moderate
30,75,18,23,26,10,2,8,441,Moderate
23,82,27,35,33,14,2,5,505,Moderate
31,49,7,15,29,12,1,7,340,Moderate
26,42,5,14,18,2,1,12,457,Good
21,77,15,20,16,4,1,16,368,Good
22,46,6,16,22,8,1,15,602,Good
26,64,23,38,33,14,1,7,359,Moderate
28,66,3,9,15,5,1,11,370,Good
27,61,24,32,24,5,1,12,345,Good
22,60,0,3,20,3,1,10,396,Good
22,70,16,22,24,2,1,12,420,Good
40,84,47,59,22,3,2,6,453,Moderate
20,76,2,7,29,11,1,7,636,Moderate
29,64,19,27,32,11,2,7,392,Moderate
30,68,4,13,17,7,1,14,550,Good
26,63,29,39,29,5,1,6,527,Moderate
38,55,44,54,21,9,1,5,485,Moderate
47,76,76,92,36,17,2,5,503,Poor
29,64,1,5,16,5,1,11,520,Good
47,77,2,27,34,20,2,6,939,Hazardous
30,74,2,8,26,0,1,12,490,Good
28,72,13,15,17,8,1,11,360,Good
33,84,106,127,35,12,2,4,586,Poor
26,50,6,9,24,10,1,11,199,Good
31,102,8,26,42,26,2,5,765,Hazardous
28,85,57,72,34,10,2,5,537,Moderate
21,95,8,17,36,10,2,5,388,Poor
34,61,37,47,29,9,2,3,484,Poor
34,83,2,25,34,12,3,6,551,Poor
36,58,18,24,30,14,1,5,363,Moderate
34,45,37,44,21,10,1,10,547,Moderate
35,67,8,21,33,12,1,8,623,Moderate
38,75,20,29,22,13,1,5,417,Moderate
23,71,5,10,18,4,1,12,342,Good
29,40,9,16,26,4,1,15,250,Good
24,64,31,34,16,0,1,11,501,Good
26,78,14,20,23,7,1,19,576,Good
26,64,16,19,18,9,1,11,566,Good
32,62,106,105,22,5,1,6,577,Moderate
24,45,4,7,24,4,1,12,241,Good
31,79,56,63,24,12,1,8,361,Moderate
27,72,4,16,19,12,1,12,527,Moderate
30,54,0,8,16,4,1,11,401,Good
24,48,4,6,14,3,1,10,209,Good
32,63,2,8,20,4,1,10,348,Good
25,67,7,12,24,9,1,10,388,Good
43,79,32,44,32,26,2,4,598,Poor
32,56,3,16,29,6,1,8,506,Moderate
33,64,17,33,25,11,1,6,511,Moderate
28,55,32,47,22,13,2,5,298,Moderate
34,68,40,47,35,1,2,10,462,Moderate
39,109,35,57,36,3,2,6,454,Poor
33,63,50,67,32,9,1,7,473,Moderate
36,85,5,14,33,16,2,5,718,Poor
36,70,59,72,42,12,2,4,539,Poor
24,68,2,6,20,8,1,10,267,Good
36,83,20,37,39,16,2,9,782,Poor
25,58,8,19,26,3,2,13,617,Moderate
33,80,10,32,40,13,1,3,597,Hazardous
29,84,2,9,24,18,1,6,466,Moderate
19,47,1,6,13,7,1,12,484,Good
35,76,4,28,32,4,2,4,703,Poor
24,60,6,12,31,18,1,8,353,Moderate
34,57,3,8,18,4,1,13,297,Good
43,70,124,128,29,2,2,4,765,Poor
34,76,7,23,36,12,1,10,582,Moderate
27,62,12,16,13,6,1,17,361,Good
33,79,17,30,24,17,1,8,504,Moderate
32,86,3,15,39,18,2,4,551,Poor
24,52,8,10,22,4,1,12,511,Good
25,89,22,44,34,18,2,4,578,Poor
43,96,15,38,40,17,2,5,591,Hazardous
40,112,37,55,51,22,3,3,556,Hazardous
29,92,61,83,40,8,2,5,639,Poor
30,90,26,39,45,19,2,4,658,Poor
34,72,7,23,23,16,1,8,644,Moderate
30,73,11,26,29,9,2,5,655,Moderate
30,62,3,12,18,7,1,10,439,Good
28,45,10,16,23,6,1,13,303,Good
45,95,79,98,41,24,2,4,670,Hazardous
30,85,9,18,26,5,1,10,503,Moderate
25,69,4,11,15,2,1,16,475,Good
29,72,4,18,44,4,1,5,780,Poor
32,87,55,70,56,27,2,3,801,Hazardous
24,76,0,7,27,3,1,11,277,Good
38,71,100,118,32,7,2,4,477,Poor
32,67,18,23,22,10,2,6,689,Poor
24,41,23,31,25,4,1,11,257,Good
22,78,5,11,18,2,1,11,591,Good
29,77,14,20,14,3,1,12,361,Good
29,78,13,21,25,13,1,6,640,Moderate
26,38,0,5,21,3,1,11,387,Good
31,54,29,43,30,15,1,8,432,Moderate
34,89,10,19,24,0,2,8,405,Moderate
36,109,77,95,34,22,2,2,870,Hazardous
23,74,0,2,16,4,1,10,390,Good
34,88,8,13,27,6,1,6,654,Moderate
33,98,43,58,48,14,3,3,788,Hazardous
36,66,58,84,40,14,2,4,413,Poor
37,72,23,39,35,23,2,3,516,Poor
23,60,11,15,15,3,1,11,525,Good
51,58,31,48,34,12,3,3,538,Hazardous
32,56,1,14,34,10,2,6,325,Moderate
29,65,31,34,23,6,1,16,334,Good
31,77,23,36,23,12,1,6,384,Moderate
37,66,2,20,45,15,1,5,506,Poor
28,90,15,34,24,9,2,6,582,Moderate
27,58,39,46,27,9,2,6,466,Moderate
38,104,12,28,25,11,2,4,441,Poor
25,62,28,34,13,6,1,12,300,Good
22,74,57,75,21,7,2,5,580,Moderate
25,43,12,15,17,6,1,11,516,Good
35,78,14,32,28,3,2,4,597,Poor
22,42,12,16,15,2,1,12,236,Good
31,76,2,15,33,29,2,8,715,Poor
24,65,10,14,15,5,1,11,331,Good
36,72,7,28,34,23,2,4,676,Poor
27,70,6,10,25,6,1,12,589,Good
34,84,12,21,17,14,1,6,626,Moderate
37,80,35,49,41,21,2,5,469,Poor
37,94,21,37,30,11,2,8,531,Poor
20,61,11,17,24,3,1,11,209,Good
25,63,1,3,29,5,1,11,387,Good
24,42,19,25,17,5,1,12,352,Good
41,61,27,57,38,13,2,4,673,Poor
22,83,37,45,31,6,2,5,350,Moderate
40,90,5,25,36,15,2,5,561,Poor
28,45,7,10,24,2,1,13,286,Good
36,62,43,55,25,22,2,4,623,Poor
31,56,2,12,21,9,1,11,588,Moderate
30,67,2,8,39,17,2,5,793,Poor
27,77,1,12,25,5,2,11,477,Moderate
32,81,19,30,32,12,1,6,664,Moderate
26,71,14,18,22,6,1,8,520,Moderate
22,50,14,18,16,4,1,15,500,Good
23,73,34,39,31,14,2,11,576,Moderate
49,62,12,36,45,23,2,3,865,Hazardous
38,71,6,21,50,34,3,5,537,Hazardous
28,64,12,14,15,3,1,12,373,Good
24,74,2,6,25,5,1,12,312,Good
31,66,17,24,23,10,2,10,379,Moderate
30,90,5,21,45,24,2,4,681,Hazardous
38,78,50,66,43,17,2,6,750,Hazardous
34,75,27,48,22,27,3,4,732,Poor
32,75,2,13,32,4,1,6,546,Moderate
32,72,31,62,32,16,3,3,747,Hazardous
32,84,30,39,40,21,2,6,454,Poor
27,62,1,2,14,4,1,19,465,Good
28,69,1,8,14,4,1,13,425,Good
24,66,4,9,25,7,1,14,387,Good
29,75,3,8,23,5,1,10,425,Good
25,47,24,29,12,6,1,11,223,Good
31,72,56,74,30,12,2,4,602,Poor
34,95,13,31,53,18,2,4,934,Hazardous
37,85,10,24,31,16,2,5,592,Poor
32,76,22,30,23,10,1,8,331,Moderate
22,50,3,7,23,3,1,10,223,Good
22,74,5,14,32,22,2,7,492,Poor
23,81,9,11,17,7,1,11,511,Good
49,92,2,25,38,17,3,4,664,Hazardous
26,52,18,26,23,6,1,10,539,Good
29,41,6,11,20,8,1,12,387,Good
40,88,3,12,29,3,2,4,692,Poor
30,88,35,50,26,22,1,3,583,Poor
28,60,26,37,18,9,1,6,278,Moderate
30,88,4,14,37,10,2,7,457,Moderate
32,96,1,6,43,21,2,4,525,Poor
31,84,29,39,25,12,1,6,438,Moderate
28,56,6,17,19,12,2,6,507,Moderate
23,58,3,7,13,6,1,12,295,Good
18,52,5,11,17,3,1,12,550,Good
39,85,5,19,33,6,2,5,620,Poor
26,80,2,6,22,7,1,10,516,Good
20,67,9,12,11,3,1,10,286,Good
39,84,80,108,32,25,2,5,450,Poor
20,78,12,20,18,6,1,14,308,Good
32,69,2,14,24,12,2,6,481,Moderate
28,71,7,13,22,4,1,13,510,Good
25,77,10,19,23,10,1,8,609,Moderate
38,73,79,94,24,23,2,4,615,Poor
32,66,39,40,31,9,2,6,381,Moderate
44,80,5,24,34,18,2,4,724,Poor
44,70,7,20,23,12,2,5,762,Poor
29,49,0,9,35,7,1,5,553,Moderate
53,57,72,85,45,6,2,3,857,Hazardous
32,58,18,29,26,10,2,7,299,Moderate
25,54,14,16,21,6,1,10,300,Good
24,42,2,7,15,4,1,13,529,Good
26,91,142,157,30,6,1,7,480,Moderate
39,84,26,49,44,15,2,4,645,Poor
32,56,10,20,25,14,2,6,516,Moderate
34,63,2,12,21,18,3,9,680,Poor
32,68,12,23,26,9,2,6,370,Moderate
27,60,1,5,23,4,1,16,241,Good
31,51,28,41,16,12,1,6,386,Moderate
28,56,22,30,28,1,1,8,331,Moderate
24,67,5,8,15,7,1,12,362,Good
34,80,18,33,21,12,2,5,361,Moderate
50,80,13,26,38,29,3,3,639,Hazardous
32,73,3,31,42,3,2,4,636,Hazardous
43,83,58,80,35,9,2,6,375,Poor
35,80,3,11,17,9,2,5,324,Moderate
38,108,23,53,37,25,3,5,543,Hazardous
25,42,1,10,23,9,1,12,545,Good
30,80,13,30,33,13,1,6,389,Moderate
28,60,0,6,25,6,1,13,218,Good
27,99,1,22,35,13,2,7,712,Poor
30,75,20,33,28,5,1,6,648,Moderate
22,66,1,6,27,4,1,13,282,Good
28,87,7,16,20,8,2,6,665,Moderate
35,75,10,19,24,14,2,6,390,Moderate
36,75,43,60,35,22,2,4,468,Poor
27,74,5,9,25,6,1,14,555,Good
25,66,5,8,25,1,1,11,263,Good
23,70,6,14,25,4,1,12,579,Good
35,63,60,69,30,8,1,5,568,Moderate
45,98,35,58,38,30,3,6,816,Hazardous
41,91,71,88,45,30,3,7,902,Hazardous
34,83,22,46,37,21,2,5,591,Poor
28,84,4,20,33,18,2,5,632,Poor
39,111,10,20,36,22,2,8,591,Poor
24,73,28,36,35,6,2,8,493,Moderate
27,60,4,10,26,4,1,13,234,Good
34,66,56,79,35,19,2,4,636,Poor
18,57,8,11,23,5,1,10,600,Good
